Topic,Question,Original_Grouped_Questions
Antenatal Check up services/ Health care Provider,What is the need of registration,"1.What is the need of registration
2.Importance of registration
3.Where should I register
4.If the women is ging to migrate to another place than what's the use of registering
5.When should I register"
Antenatal Check up services/ Health care Provider,Importance of registration,"1.What is the need of registration
2.Importance of registration
3.Where should I register
4.If the women is ging to migrate to another place than what's the use of registering
5.When should I register"
Antenatal Check up services/ Health care Provider,Where should I register,"1.What is the need of registration
2.Importance of registration
3.Where should I register
4.If the women is ging to migrate to another place than what's the use of registering
5.When should I register"
Antenatal Check up services/ Health care Provider,If the women is ging to migrate to another place than what's the use of registering,"1.What is the need of registration
2.Importance of registration
3.Where should I register
4.If the women is ging to migrate to another place than what's the use of registering
5.When should I register"
Antenatal Check up services/ Health care Provider,When should I register,"1.What is the need of registration
2.Importance of registration
3.Where should I register
4.If the women is ging to migrate to another place than what's the use of registering
5.When should I register"
Exercise,Exercising is mandatory?,"1.Exercising is mandatory?
2.I'm in this this trimester what should I exercise
3.In complication should I exercise
4.What exercise should be done while sitting and doing their chores
5.When and how much time should I exercise"
Exercise,I'm in this this trimester what should I exercise,"1.Exercising is mandatory?
2.I'm in this this trimester what should I exercise
3.In complication should I exercise
4.What exercise should be done while sitting and doing their chores
5.When and how much time should I exercise"
Exercise,In complication should I exercise,"1.Exercising is mandatory?
2.I'm in this this trimester what should I exercise
3.In complication should I exercise
4.What exercise should be done while sitting and doing their chores
5.When and how much time should I exercise"
Exercise,What exercise should be done while sitting and doing their chores,"1.Exercising is mandatory?
2.I'm in this this trimester what should I exercise
3.In complication should I exercise
4.What exercise should be done while sitting and doing their chores
5.When and how much time should I exercise"
Exercise,When and how much time should I exercise,"1.Exercising is mandatory?
2.I'm in this this trimester what should I exercise
3.In complication should I exercise
4.What exercise should be done while sitting and doing their chores
5.When and how much time should I exercise"
Nutrition,When should I eat,"1.When should I eat
2.What should I eat
3.Nausea and vomiting in 1st trimester, how can it be reduced
4.Alternatives of food groups
5.What should I eat if Haemoglobin is less"
Nutrition,What should I eat,"1.When should I eat
2.What should I eat
3.Nausea and vomiting in 1st trimester, how can it be reduced
4.Alternatives of food groups
5.What should I eat if Haemoglobin is less"
Nutrition,"Nausea and vomiting in 1st trimester, how can it be reduced","1.When should I eat
2.What should I eat
3.Nausea and vomiting in 1st trimester, how can it be reduced
4.Alternatives of food groups
5.What should I eat if Haemoglobin is less"
Nutrition,Alternatives of food groups,"1.When should I eat
2.What should I eat
3.Nausea and vomiting in 1st trimester, how can it be reduced
4.Alternatives of food groups
5.What should I eat if Haemoglobin is less"
