audio_url,ground_truth
https://storage.googleapis.com/speech_samples_glific/1756121051765345.ogg,"पोषण ट्रैकर में सभी बच्चे जो छोटे है वो बेबी के नाम से शो हो रहे है, इससे हम कंफ्यूज हो जाते है"
https://storage.googleapis.com/speech_samples_glific/1473238230405982.ogg,क्या में अपनी फ़ैमिली आईडी अलग करवा सकती हूँ?
https://storage.googleapis.com/speech_samples_glific/1886159865308785.ogg,"आप हमारी किसी काम की नहीं है, किसी भी प्रश्न का सही उत्तर नहीं दे पा रही है "
https://storage.googleapis.com/speech_samples_glific/1392360452889094.ogg,"नाम दीदी, जय जय श्री राम जय श्री शाम राधे राधे, दीदी मेरा कल सक्सेसफुल हो गया, पांच प्रश्नों का उत्तर सही हुआ है, और लॉक भी खुल गया दीदी, बहुत बहुत धन्यवाद आपका "
https://storage.googleapis.com/speech_samples_glific/1344597243836389.ogg,इस तरह का मार्गदर्शन करने के लिए आपका बहुत बहुत धन्यवाद
https://storage.googleapis.com/speech_samples_glific/1139738341608135.ogg,स्वल्ला
https://storage.googleapis.com/speech_samples_glific/1017622387157983.ogg,"हम्म, ठीक है मैडम, पर मेरा ना आई सी डी एस का जो शनिवार वाला टेस्ट आता है, वो नहीं आया"
https://storage.googleapis.com/speech_samples_glific/1128666189437926.ogg,"मुझे टेस्ट देना है, कृपाया लिंक भेजे "
https://storage.googleapis.com/speech_samples_glific/838318912486461.ogg,हर महीने में मेरा कितना वजन बढ़ना चाहिए?
https://storage.googleapis.com/speech_samples_glific/1352978506618729.ogg,"माला आता पचवा महीना अहे, माला सरकारी सुविधा कुठे भेटू शक्ति?"
https://storage.googleapis.com/speech_samples_glific/1253534463206645.ogg,"मैं नौ महीना पेट से हूँ, और मुझे क्या खाना ज़रूरी है वो बताओ "
https://storage.googleapis.com/speech_samples_glific/1454764985596815.ogg,जलन हो रही मैडम क्या करे?
https://storage.googleapis.com/speech_samples_glific/1535151617932535.ogg,हमारे ह्वाट्सऐप पर टेस्ट नहीं आ रहा है
https://storage.googleapis.com/speech_samples_glific/801106959553719.ogg,आई सी डी एस टेस्ट
https://storage.googleapis.com/speech_samples_glific/1410046620741206.ogg,चेकअप क्या होता है प्रेग्नेंट में?
https://storage.googleapis.com/speech_samples_glific/769845976056803.ogg,अभी छटा महीना चल रहा है क्या क्या खाना छाइये खाने में और कितनी बार खाना खाना चाहिए
https://storage.googleapis.com/speech_samples_glific/1513000746418402.ogg,सैटरडे वाला टेस्ट देना है जी
https://storage.googleapis.com/speech_samples_glific/2333812740417064.ogg,मुझे शनिवार का जो पिछला शनिवार गया उसका टेस्ट का लिंक चाहिए वो भेज दो
https://storage.googleapis.com/speech_samples_glific/4141345536125525.ogg,फाइल कहाँ से खोली जाएगी
https://storage.googleapis.com/speech_samples_glific/1366384631785963.ogg,"में गर्भवती माता हूँ, मुझे छटा महीना चालू है, मेरे पूरे बदन पे बहुत सारी खुजली आ रही है तो में क्या करूँ?"
