wav_file,ground_truth,gemini_stt_text,wer_strict_gemini,wer_lenient_gemini,strict_sub_gemini,strict_del_gemini,strict_ins_gemini,strict_sem_gemini,lenient_sub_gemini,lenient_del_gemini,lenient_ins_gemini,lenient_sem_gemini
1756121051765345.wav,"पोषण ट्रैकर में सभी बच्चे जो छोटे है वो बेबी के नाम से शो हो रहे है, इससे हम कंफ्यूज हो जाते है","Here is the verbatim transcript of the audio file in Hindi (Devanagari script):

**पोषण ट्रैकर में सभी बच्चे, जो छोटे हैं, वो बेबी के नाम से शो हो रहे हैं। इसमें हम कंफ्यूज हो जाते हैं।**",0.8261,0.6957,5,0,14,1,2,0,14,1
1473238230405982.wav,क्या में अपनी फ़ैमिली आईडी अलग करवा सकती हूँ?,क्या मैं अपनी फैमिली आईडी अलग करवा सकती हूं?,0.3333,0.0000,3,0,0,0,0,0,0,0
1886159865308785.wav,"आप हमारी किसी काम की नहीं है, किसी भी प्रश्न का सही उत्तर नहीं दे पा रही है","Here is the verbatim transcript of the audio in Hindi:

**00:00 - 00:03**: आप हमारी किसी काम की नहीं हैं।
**00:03 - 00:06**: किसी भी प्रश्न का सही उत्तर नहीं दे पा रही हैं।",1.1111,1.0000,2,0,18,0,0,0,18,0
1392360452889094.wav,"नाम दीदी, जय जय श्री राम जय श्री शाम राधे राधे, दीदी मेरा कल सक्सेसफुल हो गया, पांच प्रश्नों का उत्तर सही हुआ है, और लॉक भी खुल गया दीदी, बहुत बहुत धन्यवाद आपका","राम राम दीदी, जय जय राम, जय श्री श्याम, राधे राधे। दीदी मेरा कल सक्सेसफुल हो गया। पांच प्रश्नों के उत्तर सही पाए और लॉक भी खुल गया दीदी। बहुत-बहुत धन्यवाद आपका।",0.2059,0.1471,4,2,1,0,2,2,1,0
1344597243836389.wav,इस तरह का मार्गदर्शन करने के लिए आपका बहुत बहुत धन्यवाद,इस तरह का मार्गदर्शन करने के लिए आपका बहुत-बहुत धन्यवाद।,0.0000,0.0000,0,0,0,0,0,0,0,0
1139738341608135.wav,स्वल्ला,சவாலா,1.0000,1.0000,1,0,0,0,1,0,0,0
1017622387157983.wav,"हम्म, ठीक है मैडम, पर मेरा ना आई सी डी एस का जो शनिवार वाला टेस्ट आता है, वो नहीं आया","**Transcript:**

ठीक है मैडम, पर मेरा ना ICDS पे जो शनिवार वाला टेस्ट आता है, वो नहीं आया।",0.3333,0.3333,3,3,1,0,3,3,1,0
1128666189437926.wav,"मुझे टेस्ट देना है, कृपाया लिंक भेजे",मुझे टेस्ट देना है कृपया लिंक भेजें,0.2857,0.0000,2,0,0,0,0,0,0,0
838318912486461.wav,हर महीने में मेरा कितना वजन बढ़ना चाहिए?,**हर महीने में मेरा कितना वजन बढ़ना चाहिए**,0.2500,0.2500,2,0,0,0,2,0,0,0
1352978506618729.wav,"माला आता पचवा महीना अहे, माला सरकारी सुविधा कुठे भेटू शक्ति?","मला आता पाचवा महिना आहे, मला सरकारी सुविधा कुठली भेटू शकते?",0.6364,0.1818,7,0,0,0,2,0,0,0
1253534463206645.wav,"मैं नौ महीना पेट से हूँ, और मुझे क्या खाना ज़रूरी है वो बताओ",मैं नौ महीना पेट से हूँ और मुझे क्या खाना जरूरी है वो बताओ।,0.0714,0.0000,1,0,0,0,0,0,0,0
1454764985596815.wav,जलन हो रही मैडम क्या करे?,**जयनोरी मैडम क्या करें**,0.6667,0.6667,2,2,0,0,2,2,0,0
1535151617932535.wav,हमारे ह्वाट्सऐप पर टेस्ट नहीं आ रहा है,**हमारे व्हाट्सएप पर टेस्ट नहीं आ रहा है**,0.3750,0.2500,3,0,0,0,2,0,0,0
801106959553719.wav,आई सी डी एस टेस्ट,ICDS test,1.0000,1.0000,2,3,0,0,2,3,0,0
1410046620741206.wav,चेकअप क्या होता है प्रेग्नेंट में?,**चेकअप क्या होता है प्रेगनेंसी में?**,0.5000,0.5000,2,0,1,0,2,0,1,0
769845976056803.wav,अभी छटा महीना चल रहा है क्या क्या खाना छाइये खाने में और कितनी बार खाना खाना चाहिए,"अभी छठा महीना चल रहा है, क्या-क्या खाना चाहिए खाने में और कितने बार खाना खाना चाहिए?",0.1667,0.0556,3,0,0,0,1,0,0,0
1513000746418402.wav,सैटरडे वाला टेस्ट देना है जी,**सर चिड्डे वाला टेस्ट देना है जी।**,0.5000,0.5000,1,0,2,0,1,0,2,0
2333812740417064.wav,मुझे शनिवार का जो पिछला शनिवार गया उसका टेस्ट का लिंक चाहिए वो भेज दो,मुझे शनिवार का जो पिछला शनिवार गया उसका सीटेट टेस्ट का लिंक चाहिए वो भेज दो।,0.0667,0.0667,0,0,1,0,0,0,1,0
4141345536125525.wav,फाइल कहाँ से खोली जाएगी,फ़ाइल कहाँ से खोली जाएगी,0.2000,0.0000,1,0,0,0,0,0,0,0
1366384631785963.wav,"में गर्भवती माता हूँ, मुझे छटा महीना चालू है, मेरे पूरे बदन पे बहुत सारी खुजली आ रही है तो में क्या करूँ?","मैं गर्भवती माता हूँ, मुझे छठा महीना चालू है। मेरे पूरे बदन पे बहुत सारी खुजली आ रही है, तो मैं क्या करूँ?",0.1304,0.0000,3,0,0,0,0,0,0,0
